tree_id,trunk_diam,status,health,spc_common,neighborhood
29833,7,Alive,Fair,Callery pear,Great Kills
144711,2,Alive,Good,eastern redcedar,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
660313,35,Alive,Good,silver maple,Auburndale
104109,17,Alive,Fair,Siberian elm,Bay Ridge
271047,2,Alive,Good,Callery pear,Fort Greene
89810,7,Alive,Fair,Japanese zelkova,Upper West Side
35090,3,Alive,Good,eastern redbud,Spuyten Duyvil-Kingsbridge
336820,0,Stump,,,Rossville-Woodrow
271834,5,Alive,Fair,Japanese zelkova,University Heights-Morris Heights
66529,6,Alive,Good,red maple,New Springville-Bloomfield-Travis
271045,6,Alive,Poor,littleleaf linden,Fort Greene
633532,0,Stump,,,Douglas Manor-Douglaston-Little Neck
137544,9,Alive,Good,Japanese zelkova,Laurelton
722094,5,Alive,Fair,Japanese zelkova,Jamaica
439712,7,Alive,Good,sweetgum,Charleston-Richmond Valley-Tottenville
380424,0,Stump,,,Arden Heights
308630,1,Alive,Poor,Japanese maple,Richmond Hill
633362,9,Alive,Good,Norway maple,Douglas Manor-Douglaston-Little Neck
453287,4,Alive,Good,hawthorn,Lindenwood-Howard Beach
328476,3,Alive,Good,American elm,Charleston-Richmond Valley-Tottenville
300049,6,Alive,Fair,Callery pear,Queensbridge-Ravenswood-Long Island City
3674,15,Alive,Good,London planetree,East Flushing
705738,18,Alive,Good,London planetree,Brownsville
683473,12,Alive,Good,Callery pear,Bayside-Bayside Hills
284748,9,Alive,Good,ginkgo,Glen Oaks-Floral Park-New Hyde Park
3086,13,Alive,Good,pin oak,East Tremont
12690,2,Alive,Good,American hornbeam,Whitestone
593707,19,Alive,Good,tree of heaven,QN54
251539,29,Alive,Good,London planetree,Pelham Parkway
577759,11,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
515500,25,Alive,Good,American elm,Pelham Bay-Country Club-City Island
109685,24,Alive,Good,London planetree,56
202117,6,Alive,Good,Callery pear,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
619905,16,Alive,Good,ash,East Elmhurst
679411,14,Alive,Good,London planetree,Kew Gardens Hills
584736,8,Alive,Good,green ash,Mariner's Harbor-Arlington-Port Ivory-Graniteville
704040,6,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
84309,18,Alive,Good,London planetree,Park Slope-Gowanus
39916,15,Alive,Good,Japanese zelkova,Bay Ridge
638783,6,Alive,Good,cherry,Murray Hill
344113,4,Alive,Good,honeylocust,Central Harlem North-Polo Grounds
289637,7,Alive,Good,honeylocust,Upper West Side
262697,7,Alive,Good,green ash,Clinton Hill
571852,16,Alive,Fair,Callery pear,29
281258,17,Alive,Fair,London planetree,Forest Hills
262323,33,Alive,Good,London planetree,Flatbush
