tree_id,trunk_diam,status,health,spc_common,neighborhood,tree_diam_category
233071,10,Alive,Good,littleleaf linden,Upper East Side-Carnegie Hill,Medium-Large (10-18in)
2166,3,Alive,Good,Callery pear,Ft. Totten-Bay Terrace-Clearview,Medium (3-10in)
554732,11,Alive,Good,Norway maple,Ridgewood,Large (18-24in)
674696,33,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin,
121106,8,Alive,Good,cherry,Canarsie,Medium-Large (10-18in)
506062,4,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
295155,5,Alive,Good,hawthorn,Bushwick North,Medium-Large (10-18in)
584233,30,Alive,Good,sweetgum,Oakwood-Oakwood Beach,
37093,3,Alive,Fair,Norway spruce,BK78,Medium (3-10in)
153225,18,Alive,Good,London planetree,East Williamsburg,Large (18-24in)
564419,5,Alive,Good,London planetree,St. Albans,Medium-Large (10-18in)
694818,27,Alive,Good,London planetree,20,
32004,10,Alive,Good,honeylocust,Forest Hills,Medium-Large (10-18in)
503404,5,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
283183,20,Alive,Fair,Norway maple,Queens Village,Very large (>24in)
167623,9,Alive,Good,Callery pear,24,Medium-Large (10-18in)
277638,4,Alive,Good,Japanese zelkova,New Brighton-Silver Lake,Medium-Large (10-18in)
638883,25,Alive,Fair,Norway maple,Jackson Heights,
603579,12,Alive,Fair,catalpa,Auburndale,Large (18-24in)
707204,24,Alive,Fair,London planetree,QN46,Very large (>24in)
191071,6,Alive,Good,honeylocust,Yorkville,Medium-Large (10-18in)
540924,15,Alive,Good,honeylocust,Upper West Side,Large (18-24in)
214372,6,Alive,Good,ginkgo,Park Slope-Gowanus,Medium-Large (10-18in)
448032,4,Alive,Good,honeylocust,Hunts Point,Medium-Large (10-18in)
434762,7,Alive,Good,Callery pear,Elmhurst-Maspeth,Medium-Large (10-18in)
28885,16,Alive,Good,London planetree,Grymes Hill-Clifton-Fox Hills,Large (18-24in)
617214,18,Alive,Good,London planetree,Bay Ridge,Large (18-24in)
416235,27,Alive,Fair,silver maple,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,
394828,5,Alive,Good,purple-leaf plum,Stapleton-Rosebank,Medium-Large (10-18in)
183611,6,Alive,Good,Callery pear,Steinway,Medium-Large (10-18in)
519023,13,Alive,Poor,Callery pear,Charleston-Richmond Valley-Tottenville,Large (18-24in)
312694,8,Alive,Good,Callery pear,Rossville-Woodrow,Medium-Large (10-18in)
372650,4,Alive,Good,honeylocust,Clinton Hill,Medium-Large (10-18in)
311291,3,Alive,Fair,shingle oak,Astoria,Medium (3-10in)
105366,6,Alive,Good,honeylocust,Springfield Gardens North,Medium-Large (10-18in)
7015,5,Alive,Poor,littleleaf linden,Central Harlem South,Medium-Large (10-18in)
22067,5,Alive,Poor,ginkgo,Morningside Heights,Medium-Large (10-18in)
48816,7,Alive,Good,Callery pear,Middle Village,Medium-Large (10-18in)
482463,4,Alive,Good,pin oak,Elmhurst,Medium-Large (10-18in)
697175,6,Alive,Good,Norway maple,South Jamaica,Medium-Large (10-18in)
468625,4,Alive,Good,common hackberry,Longwood,Medium-Large (10-18in)
284369,17,Alive,Good,ginkgo,Glen Oaks-Floral Park-New Hyde Park,Large (18-24in)
648590,14,Alive,Good,Norway maple,Auburndale,Large (18-24in)
213774,21,Alive,Good,pin oak,Flatbush,Very large (>24in)
657209,13,Alive,Good,European hornbeam,Murray Hill,Large (18-24in)
246794,6,Alive,Good,Sophora,Lincoln Square,Medium-Large (10-18in)
434078,8,Alive,Good,littleleaf linden,East New York,Medium-Large (10-18in)
164165,4,Alive,Good,swamp white oak,Lower East Side,Medium-Large (10-18in)
499012,11,Alive,Good,pin oak,New Springville-Bloomfield-Travis,Large (18-24in)
216333,0,Stump,,,Eastchester-Edenwald-Baychester,Small (0-3in)
404407,9,Alive,Fair,silver birch,Laurelton,Medium-Large (10-18in)
355526,11,Alive,Fair,green ash,QN55,Large (18-24in)
112190,2,Alive,Fair,American linden,Oakwood-Oakwood Beach,Medium (3-10in)
647116,3,Alive,Good,American elm,Bensonhurst East,Medium (3-10in)
173994,2,Alive,Good,Japanese zelkova,Bensonhurst West,Medium (3-10in)
191692,25,Alive,Good,London planetree,BK30,
637027,0,Stump,,,Richmond Hill,Small (0-3in)
547595,12,Alive,Good,Callery pear,Woodside,Large (18-24in)
232387,5,Alive,Good,English oak,Woodside,Medium-Large (10-18in)
203,15,Alive,Good,silver maple,QN47,Large (18-24in)
272221,6,Alive,Poor,katsura tree,Soundview-Castle Hill-Clason Point-Harding Park,Medium-Large (10-18in)
361489,12,Alive,Poor,silver linden,QN52,Large (18-24in)
187000,5,Alive,Poor,dawn redwood,Crown Heights North,Medium-Large (10-18in)
573966,2,Alive,Good,honeylocust,Bensonhurst West,Medium (3-10in)
634340,11,Alive,Good,pin oak,Fresh Meadows-Utopia,Large (18-24in)
388190,0,Stump,,,Whitestone,Small (0-3in)
652038,9,Alive,Fair,red maple,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
438368,5,Alive,Good,Kentucky coffeetree,East New York,Medium-Large (10-18in)
470982,11,Alive,Poor,honeylocust,Co-op City,Large (18-24in)
117186,8,Alive,Good,Norway maple,Central Harlem South,Medium-Large (10-18in)
241120,2,Alive,Fair,honeylocust,Turtle Bay-East Midtown,Medium (3-10in)
208668,2,Alive,Fair,golden raintree,BK78,Medium (3-10in)
246864,7,Alive,Good,honeylocust,MN17,Medium-Large (10-18in)
107254,13,Alive,Fair,Callery pear,Lenox Hill-Roosevelt Island,Large (18-24in)
274949,10,Alive,Fair,honeylocust,SoHo-TriBeCa-Civic Center-Little Italy,Medium-Large (10-18in)
370563,3,Alive,Good,cherry,Queensbridge-Ravenswood-Long Island City,Medium (3-10in)
82480,9,Alive,Good,dawn redwood,Central Harlem North-Polo Grounds,Medium-Large (10-18in)
423523,28,Alive,Good,London planetree,Elmhurst-Maspeth,
487415,32,Alive,Good,London planetree,East Flatbush-Farragut,
657955,3,Alive,Good,Amur maple,Arden Heights,Medium (3-10in)
